	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXN2	FOXO3	GTF2B	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POGK	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF22	ZNF267	ZNF274	ZNF281	ZNF32	ZNF322	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A	ZNF780A
Hematopoietic_cell_lineage	CD14 CD44 CSF1R IL2RA	CD38 HLA-DRA TFRC			CD36 CD38 CD9	CD14 CD33 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA				CD36 CD44 CD55 CSF1 CSF2RA IL1B IL2RA IL7R					HLA-DRA TFRC			CD38 CD9 TFRC			CD36 CD38 CD9 IL1B IL3RA MME	CD14 HLA-DRA					CD14 CD36 CD38 CD44 CD55 CD9 CSF1R CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL3RA IL7R MME			CD14 CD36 CD9 CSF1R HLA-DRA HLA-DRB1 HLA-DRB5 IL7R	MME TFRC			CD38 CSF2RA IL2RA IL7R			CD14 CD38 IL1B IL2RA IL3RA	CD44 HLA-DRB1 IL7R		CD14 CSF1 FCGR1A	ANPEP CD14 CD33 CD44 CD9 CSF1 CSF2RA FCGR1A HLA-DRB1 IL1B IL2RA IL7R MME	CD14 CD55 IL1B IL3RA TFRC			CD14 CSF1R HLA-DRA HLA-DRB1	CD36 HLA-DRB1 HLA-DRB5 IL7R	CD36 CD44 CD55 IL2RA IL7R MME				CD14 CD36 CSF1 TFRC							ANPEP CD14 CSF1 CSF1R TFRC		CD44 HLA-DRB1	ANPEP CD14 CD33 CD44 CD55 CSF1 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL7R MME							CD44 IL1B		ANPEP CD14 CD36 CD38 CD44 CD9 CSF1R CSF2RA HLA-DRA HLA-DRB1 IL2RA IL3RA IL7R MME			CD36 CD44 CD9 HLA-DRA IL7R	CD14 CD33 CSF1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA TFRC	ANPEP CD14 CD33 CD38 CD9 HLA-DRA IL1B	CD14 CD36 CD38 CD44 CD9 CSF1R CSF2RA IL1B IL2RA IL3RA IL7R MME			ANPEP CD38 CD44 CD9 CSF1R CSF2RA HLA-DRA IL1B IL3RA IL7R		ANPEP CD14 CD36 CD38 CD44 CD55 CD9 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL3RA MME	CD44 CD9 CSF1				HLA-DRA HLA-DRB1	IL1B MME		CD33 CSF1 IL2RA	CD36 CD38 CD44 CD9 IL7R MME	CD36 CD38 CD44 CD9 IL7R	CD38 CD9 IL1B IL2RA IL7R	ANPEP CD33 CD38 CD44 CD9 IL1B IL2RA IL7R	CD14 CD55 IL1B IL2RA MME			CD14 TFRC	CD33 CD38 IL1B IL2RA				CD55 CSF1 IL3RA			CD44 CD9 FCGR1A IL1B IL3RA					CD9 IL1B										CD36 CD44 CD9 IL3RA IL7R					CD14 CSF1 IL2RA	
Hepatitis_C												CDKN1A EIF2AK2 IRF1 NR1H3 OAS2 OAS3 STAT1								OAS1 STAT1																			DDX58 IFIT1				CLDN7 DDX58 EIF2AK2 IFIT1 IRF7 OAS1 OAS2 OAS3 SOCS3 STAT1 STAT2			DDX58 EIF2AK2 IFIT1 IRF7 OAS1 OAS2 OAS3 STAT1 STAT2	DDX58 EIF2AK2 IFIT1 IRF1 IRF7 OAS1 OAS2 OAS3 SOCS3 STAT1 STAT2	DDX58 IFIT1 IRF7 OAS1 OAS2 OAS3	DDX58 EIF2AK2 IFIT1 IRF7 OAS1 OAS2 OAS3 SOCS3 STAT1 STAT2		CDKN1A DDX58 EIF2AK2 NR1H3 OAS2 OAS3 SOCS3 STAT1													OAS1 OAS3 SOCS3									EIF2AK2 IFIT1 IRF1 NFKB1 NFKBIA OAS1 OAS2 OAS3 SOCS3 STAT1			DDX58 IFIT1 IRF1 IRF7 NFKB1 NFKBIA OAS1 OAS2 OAS3 SOCS3 STAT2				DDX58 IFIT1 IRF1 IRF7 NFKBIA OAS1 OAS2 SOCS3 STAT1			DDX58 IFIT1 IRF1 IRF7 NFKBIA OAS1 OAS2 OAS3 SOCS3 STAT1							CDKN1A DDX58 EIF2AK2 IFIT1 IRF1 IRF7 NFKBIA OAS1 OAS2 OAS3 SOCS3 STAT2	DDX58 EIF2AK2 IFIT1 IRF1 IRF7 NFKBIA OAS1 OAS2 OAS3 STAT1 STAT2	DDX58 IFIT1 IRF1 IRF7 SOCS3 STAT1 STAT2	CLDN7 DDX58 IFIT1 IRF1 IRF7 NFKBIA OAS1 OAS3																					CLDN7 IRF1 SOCS3			NFKBIA NR1H3									
Histidine_metabolism																						ALDH2 HNMT																																																																																																								
Huntington's_disease								MT-ATP6 MT-CO3 MT-CYB NDUFB9 SLC25A5																																													ATP5G3 CYCS NDUFB6 SLC25A5					ATP5G3 COX5B CYCS NDUFB6 NDUFB9 SLC25A5 TGM2						MT-ATP6 MT-CO3 MT-CYB NDUFB9													MT-ATP6 MT-CO3 MT-CYB NDUFB9 SOD2																																																	
Hypertrophic_cardiomyopathy_(HCM)																							ACTB ACTG1 ITGB7												ACTB ITGB8 TPM4							ACTB ACTG1 TPM4																																										ITGB8 TPM4												ACTB ACTG1							ACTG1 TPM4										ACTB ACTG1						ACTB ACTG1 TPM4							
Insulin_signaling_pathway																																					CALM2 FBP1 FLOT1 PCK2 PTPN1 SOCS3																		FBP1 FLOT1 PPP1CB PRKAA1																															CALM1 CALM3																																								
Intestinal_immune_network_for_IgA_production					CD40 CD86	CXCR4 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5	CXCR4 TNFSF13B	CD80 HLA-DMB							CD40 CXCR4 HLA-DRA							HLA-DQB1 HLA-DRA			CD80 CXCR4 HLA-DQA1		CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5			HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL15RA								HLA-DPA1 HLA-DRB1		HLA-DMA HLA-DQB1	CD80 CXCR4 HLA-DQA1 HLA-DQB1 HLA-DRB1 TNFSF13B	HLA-DMA HLA-DMB	CD40 CD80 HLA-DMB IL15RA TNFSF13B		HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 IL15RA TNFSF13B	CD40 CD86 HLA-DMB IL15RA TNFSF13B	CD40 HLA-DPB1 HLA-DRB5 TNFSF13B	CD40 CD86 HLA-DMA IL15RA TNFSF13B						CD80 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1						CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL15RA TNFSF13B	HLA-DQA1 HLA-DQB1 TNFSF13B		CD40 HLA-DMA	HLA-DMB IL15RA					CD40 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IL15RA TNFSF13B			CD40 CD80 HLA-DQA1 HLA-DQB1 HLA-DRA TNFSF13B	CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD40 CD80 CD86 HLA-DMB HLA-DPB1 HLA-DQA1 IL15RA TNFSF13B	CD40 TNFSF13B		CD80 CD86 HLA-DRA TNFSF13B	CD80 HLA-DMB IL15RA TNFSF13B	CD40 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		CD40 CD80 TNFSF13B		HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD86 CXCR4 TNFSF13B		CD40 CD80 HLA-DQA1 IL15RA TNFSF13B	CD40 CD80 IL15RA TNFSF13B			CD86 HLA-DPA1 HLA-DPB1											CD80 CD86 HLA-DMA HLA-DMB									CD40 HLA-DMA IL15RA TNFSF13B						CD80 CD86 TNFSF13B						
Jak-STAT_signaling_pathway	CCND1 IL10RA IL2RA		CSF2RA IFNGR2 IL10RA STAT4							CSF2RA IFNGR2 IL10RA IL15RA IL2RA IL7R SOCS3 STAT4																								CCND1 CSF2RA IL2RA IL7R STAT4			CCND2 IFNGR2 IL2RA IL3RA SOCS3 STAT2 STAT4						CCND2 IFNGR2 IL15RA IL7R SOCS3 STAT1 STAT2 STAT4				IFNGR2 IL15RA IL2RA IL7R SOCS3 STAT1 STAT2 STAT4		IFNGR2 IL15RA SOCS3 STAT1 STAT2 STAT4																					CCND1 CCND2 CSF2RA IFNGR1 IFNGR2 IL10RA IL15RA IL2RA IL3RA IL7R SOCS3 STAT4						CCND1 CCND2 CSF2RA IFNGR1 IFNGR2 IL10RA IL15RA IL2RA IL3RA IL7R SOCS3 STAT2 STAT4			CCND2 CSF2RA IFNGR1 IFNGR2 IL3RA IL7R PIM1 SOCS3 STAT4	CCND2 IFNGR2 IL10RA IL15RA IL7R SOCS3 SPRED1 STAT1 STAT4									IFNGR1 IL15RA IL2RA STAT4			IFNGR2 IL2RA IL7R SOCS3 STAT1 STAT2 STAT4		CCND1 IFNGR1 IL2RA STAT1																				IFNGR2 IL15RA IL7R SOCS3						IFNGR2 IL10RA IL3RA IL7R SOCS3						
Leishmaniasis		HLA-DRA IFNGR2 STAT1	IFNGR2 IL1B			C3 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B JUN TLR2				IFNGR2 IL1B NFKB1 NFKBIA TLR2		FCGR3A FOS IFNGR1 STAT1		C3 FCGR1A FCGR3A HLA-DMA	HLA-DRA IFNGR1						IL1B NFKB1 NFKBIA	C3 HLA-DQB1 HLA-DRA TLR2			C3 HLA-DQA1 IFNGR1 JUN NCF2		FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2	C3 FCGR1A FCGR3A NCF2		FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 JUN NCF1 NCF2 NFKBIA STAT1							IFNGR2 IL1B TLR2	HLA-DPA1 HLA-DRB1		FCGR1A FCGR3A HLA-DMA HLA-DQB1 IFNGR1	C3 FCGR1A FCGR2A FCGR3A HLA-DQA1 HLA-DQB1 HLA-DRB1 IFNGR1 IL1B NCF1 NCF2 NFKBIA TLR2	HLA-DMA HLA-DMB IL1B TLR2			HLA-DPA1 HLA-DRA HLA-DRB1 IFNGR1 NFKBIA	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 STAT1		FCGR3A HLA-DPB1 HLA-DRB5		FOS NCF2	FCGR3A FOS IFNGR1 NCF1 STAT1	FCGR1A FCGR3A			FCGR2A HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 NCF1 NCF2 NFKB1 NFKBIA	FCGR1A FCGR3A IFNGR1		FCGR2A FCGR3A IFNGR1 NCF2 TLR2	C3 HLA-DPB1 NCF2		C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NFKBIA TLR2	HLA-DQA1 HLA-DQB1 IFNGR2 STAT1			FCGR2A HLA-DMB NCF1			HLA-DPA1 IFNGR1 IL1B		C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IFNGR1 IFNGR2 NCF1 NFKB1 NFKBIA TLR2			HLA-DQA1 HLA-DQB1 HLA-DRA IFNGR2 NFKB1 NFKBIA STAT1	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NCF2 TLR2	FCGR2A FOS HLA-DPA1 HLA-DPB1 HLA-DRA IFNGR2 IL1B JUN NCF1 NFKBIA TLR2	C3 FCGR2A FCGR3A HLA-DMB HLA-DPB1 HLA-DQA1 IFNGR1 IFNGR2 IL1B NCF1 NCF2 NFKB1 NFKBIA TLR2			FCGR3A HLA-DRA IFNGR1 IFNGR2 IL1B JUN NCF2	C3 FCGR2A FOS HLA-DMB IFNGR2 NCF1 NFKBIA STAT1	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR2 IL1B	HLA-DMB NFKBIA	IFNGR2 NCF1 NFKBIA STAT1		HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1			IFNGR1 JUN NCF2	C3 FCGR2A FOS HLA-DQA1 IFNGR2 NCF1 NFKBIA	FCGR2A NCF1 NFKBIA STAT1	C3 IFNGR2 IL1B STAT1 TLR2	C3 HLA-DMA HLA-DMB IFNGR2 IL1B JUN NCF2 NFKBIA TLR2	HLA-DPA1 HLA-DPB1 IFNGR1 IL1B STAT1	FCGR2A FCGR3A NCF1 NFKBIA			C3 FCGR3A IFNGR2 IL1B NFKB1 TLR2	HLA-DMB NCF2						C3 FCGR1A HLA-DMA HLA-DMB IL1B NCF1 NCF2 NFKBIA STAT1					HLA-DMA IL1B	C3 IFNGR1 JUN			HLA-DMA IFNGR2		FCGR1A TLR2	NFKBIA TLR2				IFNGR2 NCF1 NFKBIA					
Leukocyte_transendothelial_migration																							ACTB ACTG1 CLDN23					ACTB ACTG1 MMP9 MYL12A MYL9 NCF2						ACTB ACTG1 CLDN7 MYL9 NCF2							ACTB ACTG1 CLDN7 CXCR4 CYBB MMP9 MYL9 NCF1 NCF2												MMP9 MYL9 NCF2		ICAM1 MYL12A NCF1 NCF2									CTNNB1 ICAM1 NCF1																	CYBB ICAM1 MMP9 MYL12A MYL9				ACTB MYL12A			ACTG1 CXCR4 ICAM1 MYL12A NCF2								ACTB ACTG1 CYBB							ACTG1 MYL12A					CTNNB1 CXCR4					ACTB ACTG1						ACTB ACTG1 MMP9							
Long-term_potentiation					ATF4 CALM2 CALM3																																																																										ATF4 CALM2 CALM3 PRKACB							CALM1 CALM3		ATF4 CALM1 CALM3																																						
Lysosome					ACP5 CTSD DNASE2B LIPA			CTSB DNASE2B HEXB LGMN LIPA SCARB2	DNASE2B LGMN SCARB2	ACP5 CD164 CTSD CTSH DNASE2B HEXB LIPA SCARB2					ACP5 CTSS HEXB		CD164 CTSD											CD164 CTSB CTSS SLC11A1	CTSB SCARB2			CD164 CTSC CTSS DNASE2B LGMN SLC11A1										ACP5 CTSB GM2A SLC11A1										CTSB CTSD CTSH						CTSB CTSC CTSD CTSH GM2A LGMN SCARB2 SLC11A1						ACP5 CTSD DNASE2B SCARB2 SLC11A1	ACP5 LIPA SLC11A1			CD164 CTSC GM2A			CTSH LGMN			CD164 CTSB CTSC CTSH CTSK GM2A LGMN LIPA					ACP5 CTSC CTSD CTSS DNASE2B GM2A LIPA			CTSS DNASE2B HEXB LIPA			CD164 SCARB2								ACP5 CD164 CTSB HEXB LIPA MANBA SCARB2		ACP5 CTSB CTSC CTSH LGMN SCARB2			ACP5 CTSB CTSC CTSK GM2A LGMN SCARB2											CD164 CTSC CTSD CTSH CTSS GM2A						CTSB LGMN SCARB2	HEXB LIPA										
MAPK_signaling_pathway																																																																																																												ATF4 STMN1					DUSP2 DUSP5				CD14 DUSP2 MRAS PRKACB									
Malaria	CCL2 GYPC		GYPC IL18 IL1B		CCL2 CD36 CD40	GYPC IL18 IL1B TLR2			IL18 SDC2	CCL2 CD36 CD40 GYPC ICAM1 IL18 IL1B TLR2	GYPC SDC2										CD36 ICAM1 IL18 IL1B						CCL2 CD36 GYPC ICAM1 IL18 IL1B TLR2										GYPC IL1B TLR2				GYPC IL18 IL1B SDC2 TLR2	CCL2 IL1B SDC2 TLR2	CCL2 CD36 CD40 ICAM1				CCL2 CD36 CD40 ICAM1								CCL2 ICAM1 IL18			CCL2 GYPC TLR2						CD40 ICAM1						CD36 CD40 GYPC IL18 TLR2			CCL2 CD36 CD40 GYPC ICAM1	GYPC IL18 IL1B SDC2 TLR2	CCL2 IL1B TLR2	CCL2 CD36 CD40 GYPC ICAM1 IL18 IL1B TLR2	CD40 ICAM1		CCL2 ICAM1 IL18 IL1B		CCL2 CD36 CD40 ICAM1 IL1B		CD36 CD40 ICAM1 IL18				GYPC IL1B	CD36 CD40 ICAM1		CD36 CD40 ICAM1 SDC2	CCL2 CD36 CD40 ICAM1	GYPC ICAM1 IL1B SDC2 TLR2	GYPC ICAM1 IL18 IL1B TLR2		CCL2 GYPC ICAM1 IL18			CCL2 GYPC IL1B TLR2		CCL2 GYPC IL18										IL18 IL1B				CD40 ICAM1									IL18 SDC2			
Measles		IFNGR2 MX1 STAT1 TNFSF10								IFIH1 IFNGR2 IL1B IL2RA NFKB1 NFKBIA SLAMF1 TLR2		CCND1 EIF2AK2 IFNGR1 MX1 OAS2 OAS3 SLAMF1 STAT1			IFNGR1 OAS3 SLAMF1					OAS1 STAT1 TNFSF10	IL1B NFKB1 NFKBIA SLAMF1						FCGR2B IFNGR1 IFNGR2 IL1B IL2RA IRF7 NFKB1 NFKBIA TLR2							CCND1 DDX58 IL2RA OAS2			CCND2 HSPA8 IFNGR2 IL1B IL2RA STAT2 TLR2				CCND1 CCND2 HSPA8 IFNGR1 IL1B IL2RA MX1 NFKBIA SLAMF1 TLR2 TNFSF10		CCND2 DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2 TNFSF10		FCGR2B IFNGR1 NFKBIA	DDX58 EIF2AK2 IFIH1 IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2	DDX58 EIF2AK2 IFIH1 IFNGR2 IL2RA IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2 TNFSF10	DDX58 IFIH1 IRF7 MX1 OAS1 OAS2 OAS3 TNFSF10	DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 OAS1 OAS2 OAS3 STAT1 STAT2 TNFSF10		CCND1 DDX58 EIF2AK2 HSPA1A IFNGR1 MX1 OAS2 OAS3 SLAMF1 STAT1							CCND1 CCND2 IFNGR1 MSN TLR2					IFNGR1 OAS3			HSPA8 IFNGR1 IL2RA		IFNGR1 IL1B		CCND1 CCND2 DDX58 HSPA1A IFNGR1 IFNGR2 IL2RA MX1 NFKB1 NFKBIA OAS1 OAS2 TLR2 TNFSF10			CCND2 EIF2AK2 IFNGR2 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT1	CCND1 CCND2 FCGR2B HSPA8 IFNGR1 IL1B IL2RA TLR2	DDX58 FCGR2B IFNGR2 IL1B IRF7 NFKBIA TLR2	CCND1 CCND2 DDX58 FCGR2B HSPA1A HSPA8 IFIH1 IFNGR1 IFNGR2 IL1B IL2RA IRF7 MX1 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TLR2 TNFSF10			CCND2 IFNGR1 IFNGR2 IL1B MX1 OAS1 SLAMF1	CCND2 DDX58 HSPA8 IFIH1 IFNGR2 IRF7 NFKBIA OAS1 OAS2 STAT1 TNFSF10			DDX58 HSPA1A IFNGR2 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT1 TNFSF10					HSPA1A IFNGR1 MX1 OAS1 SLAMF1 TNFSF10		CCND2 DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TNFSF10	DDX58 EIF2AK2 IFIH1 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 STAT1 STAT2 TNFSF10	DDX58 HSPA8 IFNGR2 IL1B IL2RA IRF7 MX1 SLAMF1 STAT1 STAT2 TLR2 TNFSF10	CCND1 DDX58 IFIH1 IFNGR2 IL1B IL2RA IRF7 NFKBIA OAS1 OAS3 TLR2	CCND1 IFNGR1 IL1B IL2RA STAT1				HSPA8 IFNGR2 IL1B IL2RA NFKB1 TLR2							HSPA1A IL1B IRF7 MX1 NFKBIA STAT1 TNFSF10		HSPA8 STAT1 TNFSF10										FCGR2B NFKBIA TLR2				EIF2AK2 IFIH1 IFNGR2 IRF7 NFKBIA					
Melanogenesis																																																																																						CALM1 CALM3																																								
Melanoma																CDKN1A MDM2																																								CDKN1A CDKN2A													CCND1 CDKN1A																												CDKN2A MDM2							CDKN1A CDKN2A																						
Metabolism_of_xenobiotics_by_cytochrome_P450		CYP1B1 GSTM4 GSTP1 MGST1																																																																																																																												
Mineral_absorption	MT1M MT1X SLC8A1		MT1E MT1M SLC8A1	ATOX1 FTH1				ATOX1 MT1E MT2A				ATP1B1 ATP2B1 SLC8A1	MT1E MT1M MT2A					FTH1 MT1E MT1F MT1X				MT1G SLC8A1					ATP2B1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC8A1	ATP1B1 FTH1 SLC11A1		FTH1 MT2A SLC11A1 SLC8A1							FTH1 MT1E MT1F MT1G MT1H MT1M MT2A SLC11A1	ATOX1 MT2A		ATOX1 ATP2B1 FTH1 MT1H MT1X	ATP1B1 ATP2B1 FTH1 MT1G MT1M MT1X SLC11A1	MT1F MT1G MT1H MT1M MT1X SLC11A1	ATOX1 FTH1 MT1E MT2A								ATP1B1 ATP2B1 SLC8A1		FTH1 MT1E MT1F MT1G MT1H MT2A	FTH1 MT1E MT1F MT1H MT1X MT2A							ATP1B1 ATP2B1 MT1F MT1G MT1H MT1M	ATOX1 FTH1			MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC11A1	MT1F MT1G MT1H MT1X								ATP1B1 ATP2B1 FTH1 MT1F MT1G MT1H MT1M MT1X SLC8A1	MT1F MT1G MT1H MT1M MT1X MT2A	ATOX1 FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A			MT1G MT1H MT1M MT1X			ATP1B1 SLC8A1							ATP1B1 MT1E MT1F MT1X		ATOX1 MT1E MT1M MT2A	ATOX1 FTH1 MT1F MT2A	FTH1 MT1E MT1M MT1X MT2A	ATP2B1 MT1M MT2A SLC8A1				MT1E MT1M MT1X							FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A							MT1G MT1H														
NOD-like_receptor_signaling_pathway		CASP1 HSP90B1	CXCL2 IL18 IL1B			BIRC3 CXCL2 HSP90AA1 HSP90AB1 IL18 IL1B				BIRC3 CCL2 HSP90AB1 IL18 IL1B NFKB1 NFKBIA RIPK2					BIRC3 HSP90AA1						IL18 IL1B NFKB1 NFKBIA				CXCL2 HSP90AA1 HSP90AB1 PYCARD		CCL2 CCL5 CXCL2 IL18 IL1B NFKB1 NFKBIA	CCL2 HSP90AA1 HSP90AB1 HSP90B1		CCL5 HSP90B1 IL18 NFKBIA							CCL5 IL1B PYCARD				CXCL2 HSP90AA1 HSP90AB1 HSP90B1 IL18 IL1B NFKBIA	CCL2 CXCL2 IL1B	BIRC3 CASP1 CCL2 CCL5 PYCARD RIPK2				BIRC3 CASP1 CCL2 CCL5 RIPK2		BIRC3 CASP1 CCL5 PYCARD RIPK2				CXCL2 HSP90AB1 IL1B PYCARD		CCL2 CXCL2 IL18 NFKB1 NFKBIA						CXCL2 HSP90AA1 IL18 IL1B NFKBIA	CASP1 CCL2							BIRC3 HSP90AA1 HSP90AB1	BIRC3 CCL5 IL18 NFKB1 NFKBIA			CCL2 CCL5 NFKB1 NFKBIA	CXCL2 HSP90AA1 HSP90AB1 IL18 IL1B	CCL2 CXCL2 HSP90AB1 IL1B NFKBIA	CCL2 CCL5 CXCL2 IL18 IL1B NFKB1 NFKBIA PYCARD RIPK2			CCL2 CXCL2 IL18 IL1B	CCL5 CXCL2 HSP90B1 IL18 NFKBIA PYCARD RIPK2	CCL2 HSP90AB1 IL1B	BIRC3 CCL5 NFKBIA	BIRC3 CCL5 HSP90B1 IL18 NFKBIA	CCL5 NFKBIA	HSP90AA1 HSP90AB1	HSP90AB1 HSP90B1		BIRC3 CASP1 HSP90AB1	HSP90AB1 IL18 PYCARD	CASP1 CCL5 NFKBIA PYCARD RIPK2	BIRC3 CASP1 CCL2 CCL5 NFKBIA PYCARD RIPK2		CCL5 CXCL2 HSP90AA1 HSP90AB1 IL18 IL1B NFKBIA		BIRC3 CCL2 CCL5 IL18 NFKBIA			CCL2 CXCL2 IL1B NFKB1		CCL2 IL18			HSP90AA1 HSP90AB1 HSP90B1		CCL5 HSP90B1 IL1B NFKBIA		HSP90AA1 HSP90AB1			IL18 IL1B RIPK2	CXCL2 HSP90AA1 HSP90AB1						HSP90AA1 NFKBIA								CXCL2 HSP90AA1 HSP90AB1 IL18	
Natural_killer_cell_mediated_cytotoxicity																																											BID CD48 HCST HLA-A ICAM1 IFNGR2 TNFSF10						CD48 HCST HLA-E IFNGR2 TNFSF10																					BID CD48 FCGR3A HCST HLA-A HLA-E IFNGR1 IFNGR2 LAT TNFSF10			BID CD48 HCST HLA-A HLA-E ICAM1 IFNGR2			BID CD48 FCGR3A HCST HLA-A HLA-E ICAM1 IFNGR1 IFNGR2 LAT TNFSF10			BID CD48 FCGR3A HLA-A ICAM1 IFNGR1 IFNGR2		BID CD48 HCST HLA-A ICAM1 IFNGR2		BID HCST HLA-A HLA-E ICAM1 IFNGR2 TNFSF10	CD48 HCST				BID HLA-E ICAM1 IFNGR1 TNFSF10		BID CD48 HCST HLA-A HLA-E ICAM1 IFNGR2 TNFSF10		BID CD48 HLA-A HLA-E ICAM1 IFNGR2 TNFSF10			BID CD48 FCGR3A HLA-E ICAM1												HLA-A HLA-E TNFSF10							BID ICAM1 IFNGR2							BID ICAM1 IFNGR2 LAT					
Neuroactive_ligand-receptor_interaction																																																																								FPR2 LPAR6 PTGIR																																		C3AR1 NR3C1																				
Neurotrophin_signaling_pathway																					CALM1 CALM3 NFKB1 NFKBIA																													CALM1 YWHAH YWHAQ				CALM2 RIPK2																																CALM1 CALM3		ATF4 CALM1 CALM3 YWHAH																																						
