	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
Selenium_Micronutrient_Network								ALOX5AP KYNU TXN		CCL2 ICAM1 IL1B KYNU NFKB1 SOD2 TXN									KYNU SOD2 TXN			ICAM1 IL1B NFKB1						CCL2 ICAM1 IL1B NFKB1 SELM SOD2												CCL2 ICAM1 KYNU SOD2 TXN				CCL2 ICAM1 KYNU PRDX2 TXN		GPX3 KYNU PRDX2 TXN					CCL2 ICAM1 KYNU NFKB1								CCL2 KYNU SOD2 TXN									ABCA1 KYNU NFKB1 NFKB2 SELM SOD2 TXN		CCL2 GPX3 ICAM1 KYNU NFKB1 NFKB2 SOD2 TXN		ALOX5AP CCL2 IL1B SOD2	ALOX5AP GPX3 PRDX2 PTGS1 TXNRD1	ICAM1 SOD2	ABCA1 CCL2 ICAM1 IL1B KYNU SOD2 TXNRD1	ALOX5AP GPX3 NFKB2 PRDX2 PTGS1 SOD2 TXN	CCL2 ICAM1 IL1B KYNU SOD2		ALOX5AP GPX3 ICAM1 KYNU PTGS1 SOD2 TXN					GPX3 PRDX2		ALOX5AP ICAM1 KYNU NFKB2 PRDX2 PTGS1 SOD2 TXN	CCL2 ICAM1 KYNU PRDX2 TXN	ALOX5AP ICAM1 IL1B KYNU NFKB2 SOD2 TXN	ALOX5AP GPX3 ICAM1 IL1B KYNU NFKB2 SOD2 TXN		CCL2 ICAM1 TXNRD1			ALOX5AP CCL2 GPX3 IL1B NFKB1 TXNRD1											IL1B TXN			ICAM1 KYNU SOD2 TXN						ICAM1 PRDX2 SOD2	ALOX5AP GPX3 PTGS1		
Selenium_Pathway								ALOX5AP KYNU TXN		CCL2 ICAM1 IL1B KYNU NFKB1 SOD2 TXN									KYNU SOD2 TXN			ICAM1 IL1B NFKB1						CCL2 ICAM1 IL1B NFKB1 SELM SOD2												CCL2 ICAM1 KYNU SOD2 TXN				CCL2 ICAM1 KYNU PRDX2 TXN		GPX3 KYNU PRDX2 TXN					CCL2 ICAM1 KYNU NFKB1								CCL2 KYNU SOD2 TXN									ABCA1 KYNU NFKB1 NFKB2 SELM SOD2 TXN		CCL2 GPX3 ICAM1 KYNU NFKB1 NFKB2 SOD2 TXN		ALOX5AP CCL2 IL1B SOD2	ALOX5AP GPX3 PRDX2 PTGS1 TXNRD1	ICAM1 SOD2	ABCA1 CCL2 ICAM1 IL1B KYNU SOD2 TXNRD1	ALOX5AP GPX3 NFKB2 PRDX2 PTGS1 SOD2 TXN	CCL2 ICAM1 IL1B KYNU SOD2		ALOX5AP GPX3 ICAM1 KYNU PTGS1 SOD2 TXN					GPX3 PRDX2		ALOX5AP ICAM1 KYNU NFKB2 PRDX2 PTGS1 SOD2 TXN	CCL2 ICAM1 KYNU PRDX2 TXN	ALOX5AP ICAM1 IL1B KYNU NFKB2 SOD2 TXN	ALOX5AP GPX3 ICAM1 IL1B KYNU NFKB2 SOD2 TXN		CCL2 ICAM1 TXNRD1			ALOX5AP CCL2 GPX3 IL1B NFKB1 TXNRD1											IL1B TXN			ICAM1 KYNU SOD2 TXN						ICAM1 PRDX2 SOD2	ALOX5AP GPX3 PTGS1		
Senescence_and_Autophagy	CCL3 CD44 HMGA1		IL1B MAP1LC3A			CDKN1A CDKN2A HMGA1 JUN		CREG1 GSN MAP1LC3A MMP14	CREG1 IFI16	CCL3 CD44 CDKN1A CREG1 IL1B INHBA IRF1 MAP1LC3A							CDKN1A MDM2		GSN INHBA IRF1 MAP1LC3A									CCL3 CD44 CREG1 IL1B INHBA IRF7 MAP1LC3A MMP14			CREG1 IFI16 SQSTM1	CDKN2A GSN HMGA1 SQSTM1			CREG1 GSN IL1B MAP1LC3A					INHBA IRF7 MAP1LC3A MMP14 SQSTM1			GSN INHBA IRF7 SPARC	CCL3 CD44 CREG1 GSN IFI16 INHBA IRF1 IRF7 MMP14 SQSTM1		CCL3 INHBA IRF7 MAP1LC3A SPARC	CCL3 INHBA SPARC		CDKN1A INHBA			CDKN1A CDKN2A SPARC							CD44 IFI16 SQSTM1							CD44 IL1B		CCL3 CD44 CREG1 IFI16 IRF1 MAP1LC3A MDM2 MMP14 SQSTM1		CCL3 CD44 IRF1 MAP1LC3A MMP14 SPARC SQSTM1		CCL3 IL1B IRF7 JUN MAP1LC3A MMP14			CCL3 CD44 CDKN2A GSN IL1B INHBA JUN MAP1LC3A MDM2				CD44 GSN IFI16 IRF1 IRF7 SQSTM1						CDKN1A CDKN2A GSN JUN MAP1LC3A	CD44 CDKN1A CREG1 GSN IFI16 INHBA IRF1 IRF7 MMP14 SPARC SQSTM1	CCL3 CD44 CREG1 GSN IFI16 INHBA IRF1 IRF7 MMP14 SPARC SQSTM1	CREG1 GSN IFI16 IL1B IRF1 IRF7 MAP1LC3A SQSTM1	CD44 GSN IL1B IRF1 IRF7 JUN MAP1LC3A SPARC				CDKN2A MDM2 SQSTM1					CCL3 CDKN1A INHBA		CDKN1A CDKN2A																CDKN1A HMGA1	
Serotonin_Transporter_Activity																																			IL1B MAOA																																																																																		
Signaling_Pathways_in_Glioblastoma																	CDKN1A MDM2																				CDKN1A CDKN2A															CDKN1A CDKN2A															CCND1 CDKN1A																										CDKN2A MDM2							CDKN1A CDKN2A																	
Signaling_of_Hepatocyte_Growth_Factor_Receptor																																																																								FOS JUN																																													
Small_Ligand_GPCRs																																								PTAFR PTGER2 PTGIR																												PTAFR PTGER2 PTGIR		PTAFR PTGER2 PTGIR					PTAFR PTGER2													PTAFR PTGER2								PTGER2 PTGIR																	PTAFR PTGIR				
Spinal_Cord_Injury	CCL2 CCND1 MMP9 VIM		CXCL2 IL1B VIM			CCND1 CD47 LGALS3 MMP9 RHOC				ANXA1 C1QB CCL2 CD47 ICAM1 IL1B VIM												FKBP1A ICAM1 IL1B LGALS3 VIM						C1QB CCL2 CXCL2 FCGR2A ICAM1 IL1B VIM	CCL2 CCND1 LGALS3 MMP9 RHOC											BTG2 CCL2 CD47 FCGR2A ICAM1 TNFSF13B		C1QB LGALS3 RHOC		CCL2 CD47 FKBP1A ICAM1 MBP TNFSF13B VIM			ANXA1 FOS VIM			FKBP1A LGALS3 MMP9	CCL2 CXCL2 FCGR2A ICAM1			C1QB CCL2 CXCL2 FCGR2A VIM				ANXA1 C1QB CCND1 CXCL2 FCGR2A FKBP1A IL1B LGALS3 MBP MMP9 RHOC TNFSF13B VIM	CCL2 LGALS3 TNFSF13B			C1QB FCGR2A LGALS3				IL1B VIM					C1QB CCND1 CXCL2 FCGR2A FKBP1A IL1B LGALS3 MMP9 RHOC VIM	ANXA1 BTG2 C1QB CCL2 CXCL2 FCGR2A FOS IL1B VIM	CCND1 FKBP1A LGALS3 MBP MMP9 RHOC	CD47 ICAM1 TNFSF13B	CCL2 CXCL2 FKBP1A ICAM1 IL1B MMP9 TNFSF13B VIM		ANXA1 C1QB CCL2 CD47 ICAM1 IL1B LGALS3 MMP9 VIM					C1QB VIM				ANXA1 BTG2 CD47 FCGR2A FOS ICAM1 MBP TNFSF13B	CCL2 CD47 FCGR2A ICAM1 LGALS3 MBP TNFSF13B	CD47 FKBP1A ICAM1 IL1B MBP MMP9	C1QB CCND1 CXCL2 FKBP1A ICAM1 IL1B LGALS3 MBP MMP9 VIM	C1QB CCND1 IL1B MMP9	C1QB CCL2 CD47 FCGR2A ICAM1 TNFSF13B			CCL2 CXCL2 FKBP1A IL1B MBP MMP9 VIM	CXCL2 MMP9 VIM			ANXA1 BTG2 CCND1 RHOC																			
Statin_Pathway																																																																																																																	APOC1 SQLE				
Striated_Muscle_Contraction	MYL9 VIM	TNNI2 TPM2																	TNNI2 TPM2			TNNI2 VIM							ACTG1 MYL9 TPM4	ACTG1 TPM2 VIM		ACTG1 MYL9					ACTG1 MYL9																	TPM4 VIM								TNNI2 TPM4											MYL9 TNNI2 TPM2						ACTG1 TNNI2 TPM2																				ACTG1 TPM4		ACTA2 TNNI2													TNNI2 VIM			
Sulfation_Biotransformation_Reaction																																																																							SULT1A1 SULT1C2																																														
Sulindac_Metabolic_Pathway																																																																				CYP1B1 MSRB2																																																	
TCA_Cycle																																																																																							DLD IDH2		DLD IDH2																												
TCR_Signaling_Pathway			IL1B VIM							CD83 IL15RA IL1B NFKB1 NFKBIA RIPK2 VIM												FYB IL1B NFKB1 NFKBIA VIM		CD83 FOS				IL1B MAP3K8 NFKB1 NFKBIA VIM																			CD83 FOS FYB VIM																			FYB IL1B LAT VIM		IL15RA MAP3K8 NFKB1 NFKBIA VIM				FOS IL1B JUN NFKBIA VIM																	CD83 IL1B JUN LAT MAP3K8 NFKBIA VIM																IL1B RIPK2					NFKBIA VIM				IL15RA LAT NFKBIA TNFRSF9 VIM			
TGF_Beta_Signaling_Pathway										INHBA NFKB1 SKIL									INHBA STAT1			FKBP1A INHBA NFKB1						CTNNB1 INHBA NFKB1 SKIL																FKBP1A INHBA SKIL STAT1			FOS INHBA								FKBP1A SPP1				SKIL STAT1		CTNNB1 INHBA											FOS JUN SKIL			FKBP1A INHBA JUN SKIL																							INHBA SPP1				INHBA STAT1															
TGF_beta_Signaling_Pathway																										ATF3 CCND1 CDKN1A DAB2 JUN JUNB KLF6																																									ATF3 CCND1 CDKN1A JUNB																															ATF3 CCND1 CDKN1A JUNB		ATF3 CDKN1A																	
TOR_Signaling																																			DDIT4 FKBP1A																DDIT4 PRKAA1																																						DDIT4 FKBP1A PRKAA1																												
TP53_Network						BID CDKN1A CDKN2A PMAIP1						CDKN1A PMAIP1					CDKN1A MDM2						CDKN1A PMAIP1														CDKN1A CDKN2A PMAIP1			BID TNFSF10								BID CDKN1A PMAIP1				CDKN1A CDKN2A PMAIP1																BID MDM2 TNFSF10							BID CDKN2A MDM2				BID TNFSF10						CDKN1A CDKN2A	BID CDKN1A TNFSF10							CDKN2A MDM2							CDKN1A CDKN2A																	
TSH_signaling_pathway																					MYL12A STAT1																																																			FOS JUN MYL12A																														MYL12A STAT1															
TSLP_Signaling_Pathway										HCK IL2RA IL7R LYN NFKB1 NFKBIA STAT4																		HCK IL2RA IL7R NFKB1 NFKBIA STAT4				HCK IL2RA IL7R LYN STAT4			HCK IL2RA LYN STAT4					HCK IL7R STAT1 STAT4				IL2RA IL7R STAT1 STAT4							HCK IL2RA NFKB1 NFKBIA							HCK IL2RA IL7R LYN NFKBIA STAT4										HCK IL2RA IL7R LYN NFKB1 NFKB2 NFKBIA STAT4	IL2RA NFKB2	HCK IL7R LYN NFKB1 NFKB2 NFKBIA STAT1 STAT4					HCK IL7R LYN STAT4	HCK IL7R NFKB2 NFKBIA STAT1 STAT4		NFKB2 NFKBIA		NFKBIA STAT4						HCK IL7R NFKB2 NFKBIA	IL7R NFKBIA STAT1 STAT4	HCK IL2RA IL7R NFKB2 STAT1 STAT4	HCK IL2RA IL7R LYN NFKB2 NFKBIA	IL2RA STAT1	NFKBIA STAT4			HCK IL2RA LYN NFKB1 STAT4																			HCK IL7R NFKB2				
TWEAK_Signaling_Pathway	CCL2 MMP9 TNFSF12					BIRC3 JUN MMP9				BIRC3 CCL2 NFKB1 NFKBIA												NFKB1 NFKBIA						CCL2 CCL5 CTNNB1 NFKB1 NFKBIA	CCL2 MMP9 TNFRSF12A											BIRC3 CCL2 CCL5				BIRC3 CCL2 CCL5	CCL5 TNFSF12					MMP9 TNFRSF12A	CCL2 NFKB1 NFKBIA			CCL2 TNFSF12							BIRC3 CTNNB1						BIRC3 TNFRSF12A	BIRC3 CCL5 NFKB1 NFKB2 NFKBIA	MMP9 NFKB2	CCL2 CCL5 NFKB1 NFKB2 NFKBIA		CCL2 JUN NFKBIA			CCL2 JUN MMP9	CCL5 MMP9 NFKB2 NFKBIA TNFRSF12A		BIRC3 CCL5 NFKB2 NFKBIA	BIRC3 CCL5 NFKBIA	CCL5 NFKBIA						CCL5 NFKB2 NFKBIA TNFSF12	BIRC3 CCL2 CCL5 NFKBIA		CCL5 JUN MMP9 NFKB2 NFKBIA		BIRC3 CCL2 CCL5 NFKBIA			CCL2 MMP9 NFKB1												JUN TNFRSF12A								NFKBIA TNFSF12			
Tamoxifen_metabolism																																																							CYP1B1 SULT1A1													CYP1B1 SULT1A1																																				CYP1B1 SULT1A1													
Toll-like_receptor_signaling_pathway	CCL3 CCL4 CD14									CCL3 CCL4 CD40 CD86 IL1B NFKB1 NFKBIA TLR2		CD14 CD40 CD86 FOS STAT1											CD14 TLR2					CCL3 CCL4 CCL5 CD14 CD80 CD86 IL1B IRF7 MAP3K8 NFKB1 NFKBIA TLR2							CCL5 CD14 IL1B TLR2					CCL5 CD40 CD80 IRF7 STAT1		CCL3 CD14 NFKBIA	CCL5 CD40 IRF7 STAT1	CCL3 CCL5 CD40 CD86 IRF7 STAT1	CCL5 CD40 IRF7	CCL3 CCL5 CD40 CD86 IRF7 STAT1	CCL3 CD86 FOS				CD80 NFKB1 NFKBIA							CCL3 CCL4 CD14 CD86 IL1B NFKBIA SPP1 TLR2			CCL3 CD14 CD40							CCL3 CCL5 CD14 CD40 CD80 CD86 MAP3K8 NFKB1 NFKB2 NFKBIA TLR2	CCL4 NFKB2	CCL3 CCL4 CCL5 CD40 CD80 NFKB1 NFKB2 NFKBIA STAT1	CCL3 CCL4 CD14 CD86 IL1B SPP1 TLR2	CCL3 CCL4 CD14 CD86 FOS IL1B IRF7 JUN NFKBIA TLR2			CCL3 CD80 CD86 IL1B JUN	CCL5 CD80 FOS IRF7 NFKB2 NFKBIA STAT1	CCL3 CCL4 CD14 CD40 CD86 IL1B	CCL4 CCL5 NFKB2 NFKBIA	CCL5 CD40 CD80 IRF7 NFKBIA STAT1	CCL5 CD40 NFKBIA		CCL3 CCL4				CCL4 CCL5 CD40 CD80 FOS IRF7 NFKB2 NFKBIA	CCL3 CCL5 CD40 CD80 IRF7 NFKBIA STAT1	CD80 CD86 IL1B IRF7 MAP3K8 NFKB2 STAT1 TLR2	CCL5 IL1B IRF7 JUN MAP3K8 NFKB2 NFKBIA TLR2	CCL4 CD14 CD86 IL1B STAT1								CCL3 CCL4 SPP1												CD14 NFKBIA TLR2			CCL4 CD80 CD86 NFKB2 SPP1				
Trans-sulfuration_and_one_carbon_metabolism																MTHFD2 PHGDH PSAT1																																MTHFD2 PHGDH PSAT1																																						MTHFD2 PHGDH PSAT1					MTHFD2 PSAT1								MTHFD2 PSAT1			MTHFD2 PSAT1							PHGDH PSAT1				GCLC MTHFD2				
Transcriptional_activation_by_NRF2								NFE2L2 NQO1		NFE2L2 SLC7A11																									NFE2L2 SLC7A11																																	NQO1 SLC7A11	NFE2L2 SLC7A11						NFE2L2 SLC7A11	GCLC NFE2L2	GCLC NFE2L2 SLC7A11									NFE2L2 SLC7A11		NFE2L2 NQO1	NFE2L2 NQO1																			NQO1 SLC7A11					GCLC NFE2L2				
Tryptophan_metabolism													CYP19A1 CYP1B1			CYP19A1 WARS															ALDH2 CYP1B1 IDO1									IDO1 KYNU WARS	IDO1 WARS		IDO1 KYNU WARS			ALDH1A1 IDO1 KYNU WARS						ALDH2 CYP19A1							CYP1B1 KYNU									ALDH2 CYP1B1 IDO1 KYNU MDM2							CYP19A1 IDO1 KYNU MDM2												IDO1 KYNU WARS																	ALDH1A1 ALDH2 CYP1B1				KYNU WARS									
Type_III_interferon_signaling																																								STAT1 STAT2			STAT1 STAT2	STAT1 STAT2		STAT1 STAT2																																									STAT1 STAT2	STAT1 STAT2																													
Type_II_interferon_signaling_(IFNG)			IFNGR2 IL1B				IFIT2 IRF1 ISG15			ICAM1 IFNGR2 IL1B IRF1 SOCS3		CYBB EIF2AK2 IFI6 IFIT2 IFNGR1 IRF1 ISG15 STAT1							IRF1 STAT1		IFIT2 OAS1 STAT1	CYBB ICAM1 IL1B						CYBB GBP1 ICAM1 IFNGR1 IFNGR2 IL1B SOCS3							IFNGR2 IL1B SOCS3 STAT2					EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 ISG15 OAS1 SOCS3 STAT1 STAT2			EIF2AK2 GBP1 IFI6 IFIT2 ISG15 OAS1 STAT1 STAT2	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT1 STAT2	GBP1 IFI6 ISG15 OAS1	EIF2AK2 GBP1 IFI6 IFIT2 IFNGR2 ISG15 OAS1 SOCS3 STAT1 STAT2		EIF2AK2 IFI6 ISG15 SOCS3 STAT1											IFI6 IFNGR2 STAT1		ICAM1 OAS1 SOCS3					CYBB IFNGR1 IL1B		CYBB GBP1 IFI6 IFNGR1 IFNGR2 IRF1 ISG15 OAS1 SOCS3		EIF2AK2 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 OAS1 SOCS3 STAT1	CYBB IFNGR1 IL1B	CYBB IFNGR2 IL1B		ICAM1 IFI6 ISG15 OAS1	CYBB ICAM1 IFIT2 IFNGR1 IFNGR2 IL1B OAS1 SOCS3	GBP1 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT1	CYBB ICAM1 IFNGR2 IL1B	CYBB IFI6	ICAM1 IFI6 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT1							EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT2	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IRF1 ISG15 OAS1 STAT1 STAT2	ICAM1 IFI6 IFIT2 IFNGR2 IL1B IRF1 SOCS3 STAT1 STAT2	GBP1 ICAM1 IFIT2 IFNGR2 IL1B IRF1 ISG15 OAS1	IFNGR1 IL1B STAT1				GBP1 IFNGR2 IL1B											IL1B SOCS3			ICAM1 IFNGR2 IRF1 SOCS3					IFIT2 IFNGR2 ISG15 SOCS3	EIF2AK2 ICAM1 IFI6 IFNGR2 ISG15			
Vitamin_A_and_Carotenoid_Metabolism						ALDH1A1 CRABP2 SULT1A1																				CRABP2 LPL SULT1A1																																																										ALDH1A1 CD36 SULT1A1																				ALDH1A1 SULT1A1									CD36 CRABP2				
Vitamin_B12_Metabolism										IL1B NFKB1 SOD2												IL1B NFKB1						CCL5 IL1B NFKB1 SOD2							CCL5 IL1B SOD2								CCL5 SOD2		ABCA1 CCL5																							ABCA1 CCL5 NFKB1 NFKB2 SOD2		CCL5 NFKB1 NFKB2 SOD2		IL1B SOD2			ABCA1 IL1B SOD2	CCL5 NFKB2 SOD2	IL1B SOD2	CCL5 NFKB2		CCL5 SOD2						CCL5 NFKB2 SOD2		IL1B NFKB2 SOD2	CCL5 IL1B NFKB2 SOD2																			CCL5 SOD2					NFKB2 SOD2				
Vitamin_D_Metabolism												CYP27A1 CYP27B1																																																																										CYP27A1 CYP27B1																															
Wnt_Signaling_Pathway_and_Pluripotency	CCND1 CD44 LRRK2					CCND1 JUN LRRK2 MMP7																																																																																																															
mRNA_Processing																																																																																																	HNRNPH1 YBX1																				
metapathway_biotransformation		GSTM4 GSTP1 MGST1											AKR1B1 CYP19A1 CYP1B1 CYP27B1		AKR1B1 AKR7A2 EPHX1																																																															CYP19A1 CYP27B1 GPX3 GSTP1 SULT1A1						CYP27A1 GPX3 MGST1 SULT1A1													GSTM4 SULT1C2							CYP1B1 CYP27A1 GPX3 MGST1 SULT1A1							CYP19A1 CYP27B1						
miR-targeted_genes_in_epithelium_-_TarBase											TUBA1A TUBA1B UNC93B1									CD164 PSAT1 TPM4																	CD164 CDKN2A TUBA1A TUBA1B YWHAQ																																																														MTHFD2 NCL PSAT1 TPM4 TUBA1A TUBA1B UBE2S																		
miR-targeted_genes_in_leukocytes_-_TarBase						CD164 HMGA1 PNP SH3BGRL3 TUBA1A					LPL TUBA1A TUBA1B UNC93B1							CD164 LPL								CTSC HMGA1 LPL PNP POLE4 SH3BGRL3 TNFAIP2 TUBA1A TUBA1B TXNRD1 YWHAQ			CD164 HMGA1 PNP TUBA1B YWHAQ							CD164 SH3BGRL3	CD164 LPL TUBA1A TUBA1B YWHAQ																		CTSC HMGA1 PNP TXNRD1 YWHAQ	SH3BGRL3 TUBA1B		ANPEP CD164 CTSC HMGA1 MCL1 PNP POLE4 SH3BGRL3 TNFAIP2 TNFSF9 TUBA1B TXNRD1 UNC93B1 YWHAQ										ANPEP CTSC MAP3K8 MTHFD2 SLC7A11 TNFAIP2 TNFSF9 UNC93B1	SH3BGRL3 SLC7A11 TNFSF9		CD164 CTSC HMGA1 MLLT11 PNP POLE4 SH3BGRL3 TUBA1B TXNRD1 YWHAQ										CD164 TUBA1A								ANPEP CD164 MAP3K8 MCL1 MTHFD2 POLE4 TNFAIP2 TNFSF9		CTSC MTHFD2 TXNRD1 UNC93B1				HMGA1 PRSS21 TNFSF9 TXNRD1			LPL MLLT11 SLC7A11 YWHAQ	MTHFD2 TUBA1A TUBA1B											CD164 HMGA1 PNP TNFAIP2						HMGA1 POLE4 YWHAQ	SH3BGRL3 TUBA1B
miR-targeted_genes_in_lymphocytes_-_TarBase											LPL TUBA1A TUBA1B UNC93B1									CD164 PSAT1 TPM4																	CD164 CDKN1A CDKN2A LPL TUBA1A TUBA1B YWHAQ																			SH3BGRL3 TPM4 TUBA1B																																											MTHFD2 NCL PSAT1 TPM4 TUBA1A TUBA1B UBE2S																		
miR-targeted_genes_in_muscle_cell_-_TarBase																				CD164 PSAT1 TPM4																																											LPL RAI14				CCND1 CDKN1A CSF1 HMGA1 YWHAQ																												CALCOCO2 CSF1 HMGA1 PSAT1 SPARC TXNRD1				MTHFD2 NCL PSAT1 TPM4																	CDKN1A CSF1 HMGA1 POLE4 YWHAQ	
miR-targeted_genes_in_squamous_cell_-_TarBase											TUBA1A TUBA1B													NCL TUBA1A TUBA1B		HMGA1 NCL PNP SH3BGRL3 TUBA1A TUBA1B TXNRD1 YWHAQ											TUBA1A TUBA1B YWHAQ																		HMGA1 PNP TXNRD1 YWHAQ	SH3BGRL3 TUBA1B																																											NCL TUBA1A TUBA1B																		SH3BGRL3 TUBA1B
miRNA_Regulation_of_DNA_Damage_Response						BID CCND1 CDKN1A CYCS PMAIP1											CDKN1A CYCS MDM2						CDKN1A PMAIP1			CCND1 CCND2 CDKN1A CYCS GADD45B GADD45G																						BID CCND1 CDKN1A PMAIP1				CDKN1A CYCS PMAIP1															CCND1 CDKN1A CYCS																																																		
miRNAs_involved_in_DNA_damage_response																																																																			CCND1 CDKN1A																																																		
p38_MAPK_Signaling_Pathway						DDIT3 HSPB1																							DDIT3 HSPB1																			HSPB1 STAT1																																										HSPB1 STAT1																DDIT3 HSPB1											
